"Statistic Label","CensusYear","Sex","Means of Travel","At Work, Childcare, School or College","UNIT","VALUE"
"Persons Usually Resident and Present in the State","1986","Both sexes","Motorcycle or scooter","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Both sexes","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Both sexes","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","300"
"Persons Usually Resident and Present in the State","1986","Both sexes","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","766"
"Persons Usually Resident and Present in the State","1986","Both sexes","Motor car: Driver","All persons","Number","405180"
"Persons Usually Resident and Present in the State","1986","Both sexes","Motor car: Driver","Population aged 15 years and over at work","Number","402878"
"Persons Usually Resident and Present in the State","1986","Both sexes","Motor car: Driver","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Both sexes","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Both sexes","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","373"
"Persons Usually Resident and Present in the State","1986","Both sexes","Motor car: Driver","Students at school or college aged 19 years and over","Number","1929"
"Persons Usually Resident and Present in the State","1986","Both sexes","Motor car: Passenger","All persons","Number","264125"
"Persons Usually Resident and Present in the State","1986","Both sexes","Motor car: Passenger","Population aged 15 years and over at work","Number","89831"
"Persons Usually Resident and Present in the State","1986","Both sexes","Motor car: Passenger","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Both sexes","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","133624"
"Persons Usually Resident and Present in the State","1986","Both sexes","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","36666"
"Persons Usually Resident and Present in the State","1986","Both sexes","Motor car: Passenger","Students at school or college aged 19 years and over","Number","4004"
"Persons Usually Resident and Present in the State","1986","Both sexes","Other means (incl. lorry or van)","All persons","Number","36239"
"Persons Usually Resident and Present in the State","1986","Both sexes","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","33354"
"Persons Usually Resident and Present in the State","1986","Both sexes","Other means (incl. lorry or van)","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Both sexes","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","1812"
"Persons Usually Resident and Present in the State","1986","Both sexes","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","829"
"Persons Usually Resident and Present in the State","1986","Both sexes","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","244"
"Persons Usually Resident and Present in the State","1986","Both sexes","Not stated","All persons","Number","108579"
"Persons Usually Resident and Present in the State","1986","Both sexes","Not stated","Population aged 15 years and over at work","Number","48932"
"Persons Usually Resident and Present in the State","1986","Both sexes","Not stated","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Both sexes","Not stated","Children at school aged between 5 and 12 years","Number","39439"
"Persons Usually Resident and Present in the State","1986","Both sexes","Not stated","Students at school or college aged between 13 and 18 years","Number","17818"
"Persons Usually Resident and Present in the State","1986","Both sexes","Not stated","Students at school or college aged 19 years and over","Number","2390"
"Persons Usually Resident and Present in the State","1986","Both sexes","All means of travel","All persons","Number","1829899"
"Persons Usually Resident and Present in the State","1986","Both sexes","All means of travel","Population aged 15 years and over at work","Number","896791"
"Persons Usually Resident and Present in the State","1986","Both sexes","All means of travel","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Both sexes","All means of travel","Children at school aged between 5 and 12 years","Number","556338"
"Persons Usually Resident and Present in the State","1986","Both sexes","All means of travel","Students at school or college aged between 13 and 18 years","Number","330161"
"Persons Usually Resident and Present in the State","1986","Both sexes","All means of travel","Students at school or college aged 19 years and over","Number","46609"
"Persons Usually Resident and Present in the State","1986","Male","On foot","All persons","Number","256406"
"Persons Usually Resident and Present in the State","1986","Male","On foot","Population aged 15 years and over at work","Number","69916"
"Persons Usually Resident and Present in the State","1986","Male","On foot","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Male","On foot","Children at school aged between 5 and 12 years","Number","129973"
"Persons Usually Resident and Present in the State","1986","Male","On foot","Students at school or college aged between 13 and 18 years","Number","50585"
"Persons Usually Resident and Present in the State","1986","Male","On foot","Students at school or college aged 19 years and over","Number","5932"
"Persons Usually Resident and Present in the State","1986","Male","Bicycle","All persons","Number","92788"
"Persons Usually Resident and Present in the State","1986","Male","Bicycle","Population aged 15 years and over at work","Number","39469"
"Persons Usually Resident and Present in the State","1986","Male","Bicycle","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Male","Bicycle","Children at school aged between 5 and 12 years","Number","14507"
"Persons Usually Resident and Present in the State","1986","Male","Bicycle","Students at school or college aged between 13 and 18 years","Number","31522"
"Persons Usually Resident and Present in the State","1986","Male","Bicycle","Students at school or college aged 19 years and over","Number","7290"
"Persons Usually Resident and Present in the State","1986","Male","Bus, minibus or coach","All persons","Number","152244"
"Persons Usually Resident and Present in the State","1986","Male","Bus, minibus or coach","Population aged 15 years and over at work","Number","41878"
"Persons Usually Resident and Present in the State","1986","Male","Bus, minibus or coach","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Male","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","52928"
"Persons Usually Resident and Present in the State","1986","Male","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","52597"
"Persons Usually Resident and Present in the State","1986","Male","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","4841"
"Persons Usually Resident and Present in the State","1986","Male","Train, DART or LUAS","All persons","Number","12892"
"Persons Usually Resident and Present in the State","1986","Male","Train, DART or LUAS","Population aged 15 years and over at work","Number","9492"
"Persons Usually Resident and Present in the State","1986","Male","Train, DART or LUAS","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Male","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","325"
"Persons Usually Resident and Present in the State","1986","Male","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","1660"
"Persons Usually Resident and Present in the State","1986","Male","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","1415"
"Persons Usually Resident and Present in the State","1986","Male","Motorcycle or scooter","All persons","Number","13643"
"Persons Usually Resident and Present in the State","1986","Male","Motorcycle or scooter","Population aged 15 years and over at work","Number","12827"
"Persons Usually Resident and Present in the State","1986","Male","Motorcycle or scooter","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Male","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Male","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","241"
"Persons Usually Resident and Present in the State","1986","Male","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","575"
"Persons Usually Resident and Present in the State","1986","Male","Motor car: Driver","All persons","Number","310164"
"Persons Usually Resident and Present in the State","1986","Male","Motor car: Driver","Population aged 15 years and over at work","Number","308726"
"Persons Usually Resident and Present in the State","1986","Male","Motor car: Driver","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Male","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Male","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","208"
"Persons Usually Resident and Present in the State","1986","Male","Motor car: Driver","Students at school or college aged 19 years and over","Number","1230"
"Persons Usually Resident and Present in the State","1986","Male","Motor car: Passenger","All persons","Number","119094"
"Persons Usually Resident and Present in the State","1986","Male","Motor car: Passenger","Population aged 15 years and over at work","Number","34726"
"Persons Usually Resident and Present in the State","1986","Male","Motor car: Passenger","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Male","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","66293"
"Persons Usually Resident and Present in the State","1986","Male","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","16044"
"Persons Usually Resident and Present in the State","1986","Male","Motor car: Passenger","Students at school or college aged 19 years and over","Number","2031"
"Persons Usually Resident and Present in the State","1986","Male","Other means (incl. lorry or van)","All persons","Number","32630"
"Persons Usually Resident and Present in the State","1986","Male","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","31142"
"Persons Usually Resident and Present in the State","1986","Male","Other means (incl. lorry or van)","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Male","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","898"
"Persons Usually Resident and Present in the State","1986","Male","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","426"
"Persons Usually Resident and Present in the State","1986","Male","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","164"
"Persons Usually Resident and Present in the State","1986","Male","Not stated","All persons","Number","59424"
"Persons Usually Resident and Present in the State","1986","Male","Not stated","Population aged 15 years and over at work","Number","28409"
"Persons Usually Resident and Present in the State","1986","Male","Not stated","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Male","Not stated","Children at school aged between 5 and 12 years","Number","20344"
"Persons Usually Resident and Present in the State","1986","Male","Not stated","Students at school or college aged between 13 and 18 years","Number","9296"
"Persons Usually Resident and Present in the State","1986","Male","Not stated","Students at school or college aged 19 years and over","Number","1375"
"Persons Usually Resident and Present in the State","1986","Male","All means of travel","All persons","Number","1049285"
"Persons Usually Resident and Present in the State","1986","Male","All means of travel","Population aged 15 years and over at work","Number","576585"
"Persons Usually Resident and Present in the State","1986","Male","All means of travel","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Male","All means of travel","Children at school aged between 5 and 12 years","Number","285268"
"Persons Usually Resident and Present in the State","1986","Male","All means of travel","Students at school or college aged between 13 and 18 years","Number","162579"
"Persons Usually Resident and Present in the State","1986","Male","All means of travel","Students at school or college aged 19 years and over","Number","24853"
"Persons Usually Resident and Present in the State","1986","Female","On foot","All persons","Number","249124"
"Persons Usually Resident and Present in the State","1986","Female","On foot","Population aged 15 years and over at work","Number","66084"
"Persons Usually Resident and Present in the State","1986","Female","On foot","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Female","On foot","Children at school aged between 5 and 12 years","Number","121974"
"Persons Usually Resident and Present in the State","1986","Female","On foot","Students at school or college aged between 13 and 18 years","Number","54707"
"Persons Usually Resident and Present in the State","1986","Female","On foot","Students at school or college aged 19 years and over","Number","6359"
"Persons Usually Resident and Present in the State","1986","Female","Bicycle","All persons","Number","54174"
"Persons Usually Resident and Present in the State","1986","Female","Bicycle","Population aged 15 years and over at work","Number","21281"
"Persons Usually Resident and Present in the State","1986","Female","Bicycle","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Female","Bicycle","Children at school aged between 5 and 12 years","Number","9128"
"Persons Usually Resident and Present in the State","1986","Female","Bicycle","Students at school or college aged between 13 and 18 years","Number","19126"
"Persons Usually Resident and Present in the State","1986","Female","Bicycle","Students at school or college aged 19 years and over","Number","4639"
"Persons Usually Resident and Present in the State","1986","Female","Bus, minibus or coach","All persons","Number","171670"
"Persons Usually Resident and Present in the State","1986","Female","Bus, minibus or coach","Population aged 15 years and over at work","Number","51458"
"Persons Usually Resident and Present in the State","1986","Female","Bus, minibus or coach","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Female","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","52317"
"Persons Usually Resident and Present in the State","1986","Female","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","62230"
"Persons Usually Resident and Present in the State","1986","Female","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","5665"
"Persons Usually Resident and Present in the State","1986","Female","Train, DART or LUAS","All persons","Number","9798"
"Persons Usually Resident and Present in the State","1986","Female","Train, DART or LUAS","Population aged 15 years and over at work","Number","6604"
"Persons Usually Resident and Present in the State","1986","Female","Train, DART or LUAS","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Female","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","311"
"Persons Usually Resident and Present in the State","1986","Female","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","1748"
"Persons Usually Resident and Present in the State","1986","Female","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","1135"
"Persons Usually Resident and Present in the State","1986","Female","Motorcycle or scooter","All persons","Number","3037"
"Persons Usually Resident and Present in the State","1986","Female","Motorcycle or scooter","Population aged 15 years and over at work","Number","2787"
"Persons Usually Resident and Present in the State","1986","Female","Motorcycle or scooter","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Female","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Female","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","59"
"Persons Usually Resident and Present in the State","1986","Female","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","191"
"Persons Usually Resident and Present in the State","1986","Female","Motor car: Driver","All persons","Number","95016"
"Persons Usually Resident and Present in the State","1986","Female","Motor car: Driver","Population aged 15 years and over at work","Number","94152"
"Persons Usually Resident and Present in the State","1986","Female","Motor car: Driver","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Female","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Female","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","165"
"Persons Usually Resident and Present in the State","1986","Female","Motor car: Driver","Students at school or college aged 19 years and over","Number","699"
"Persons Usually Resident and Present in the State","1986","Female","Motor car: Passenger","All persons","Number","145031"
"Persons Usually Resident and Present in the State","1986","Female","Motor car: Passenger","Population aged 15 years and over at work","Number","55105"
"Persons Usually Resident and Present in the State","1986","Female","Motor car: Passenger","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Female","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","67331"
"Persons Usually Resident and Present in the State","1986","Female","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","20622"
"Persons Usually Resident and Present in the State","1986","Female","Motor car: Passenger","Students at school or college aged 19 years and over","Number","1973"
"Persons Usually Resident and Present in the State","1986","Female","Other means (incl. lorry or van)","All persons","Number","3609"
"Persons Usually Resident and Present in the State","1986","Female","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","2212"
"Persons Usually Resident and Present in the State","1986","Female","Other means (incl. lorry or van)","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Female","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","914"
"Persons Usually Resident and Present in the State","1986","Female","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","403"
"Persons Usually Resident and Present in the State","1986","Female","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","80"
"Persons Usually Resident and Present in the State","1986","Female","Not stated","All persons","Number","49155"
"Persons Usually Resident and Present in the State","1986","Female","Not stated","Population aged 15 years and over at work","Number","20523"
"Persons Usually Resident and Present in the State","1986","Female","Not stated","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Female","Not stated","Children at school aged between 5 and 12 years","Number","19095"
"Persons Usually Resident and Present in the State","1986","Female","Not stated","Students at school or college aged between 13 and 18 years","Number","8522"
"Persons Usually Resident and Present in the State","1986","Female","Not stated","Students at school or college aged 19 years and over","Number","1015"
"Persons Usually Resident and Present in the State","1986","Female","All means of travel","All persons","Number","780614"
"Persons Usually Resident and Present in the State","1986","Female","All means of travel","Population aged 15 years and over at work","Number","320206"
"Persons Usually Resident and Present in the State","1986","Female","All means of travel","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Female","All means of travel","Children at school aged between 5 and 12 years","Number","271070"
"Persons Usually Resident and Present in the State","1986","Female","All means of travel","Students at school or college aged between 13 and 18 years","Number","167582"
"Persons Usually Resident and Present in the State","1986","Female","All means of travel","Students at school or college aged 19 years and over","Number","21756"
"Persons Usually Resident and Present in the State","1991","Both sexes","On foot","All persons","Number","454126"
"Persons Usually Resident and Present in the State","1991","Both sexes","On foot","Population aged 15 years and over at work","Number","126158"
"Persons Usually Resident and Present in the State","1991","Both sexes","On foot","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1991","Both sexes","On foot","Children at school aged between 5 and 12 years","Number","209067"
"Persons Usually Resident and Present in the State","1991","Both sexes","On foot","Students at school or college aged between 13 and 18 years","Number","99751"
"Persons Usually Resident and Present in the State","1991","Both sexes","On foot","Students at school or college aged 19 years and over","Number","19150"
"Persons Usually Resident and Present in the State","1991","Both sexes","Bicycle","All persons","Number","130194"
"Persons Usually Resident and Present in the State","1991","Both sexes","Bicycle","Population aged 15 years and over at work","Number","50257"
"Persons Usually Resident and Present in the State","1991","Both sexes","Bicycle","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1991","Both sexes","Bicycle","Children at school aged between 5 and 12 years","Number","22407"
"Persons Usually Resident and Present in the State","1991","Both sexes","Bicycle","Students at school or college aged between 13 and 18 years","Number","45632"
"Persons Usually Resident and Present in the State","1991","Both sexes","Bicycle","Students at school or college aged 19 years and over","Number","11898"
"Persons Usually Resident and Present in the State","1991","Both sexes","Bus, minibus or coach","All persons","Number","337788"
"Persons Usually Resident and Present in the State","1991","Both sexes","Bus, minibus or coach","Population aged 15 years and over at work","Number","87377"
"Persons Usually Resident and Present in the State","1991","Both sexes","Bus, minibus or coach","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1991","Both sexes","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","109745"
"Persons Usually Resident and Present in the State","1991","Both sexes","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","124135"
"Persons Usually Resident and Present in the State","1991","Both sexes","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","16531"
"Persons Usually Resident and Present in the State","1991","Both sexes","Train, DART or LUAS","All persons","Number","30214"
"Persons Usually Resident and Present in the State","1991","Both sexes","Train, DART or LUAS","Population aged 15 years and over at work","Number","19834"
"Persons Usually Resident and Present in the State","1991","Both sexes","Train, DART or LUAS","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1991","Both sexes","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","735"
"Persons Usually Resident and Present in the State","1991","Both sexes","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","4825"
"Persons Usually Resident and Present in the State","1991","Both sexes","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","4820"
"Persons Usually Resident and Present in the State","1991","Both sexes","Motorcycle or scooter","All persons","Number","13756"
"Persons Usually Resident and Present in the State","1991","Both sexes","Motorcycle or scooter","Population aged 15 years and over at work","Number","12713"
"Persons Usually Resident and Present in the State","1991","Both sexes","Motorcycle or scooter","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1991","Both sexes","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","1991","Both sexes","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","354"
"Persons Usually Resident and Present in the State","1991","Both sexes","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","689"
"Persons Usually Resident and Present in the State","1991","Both sexes","Motor car: Driver","All persons","Number","446228"
"Persons Usually Resident and Present in the State","1991","Both sexes","Motor car: Driver","Population aged 15 years and over at work","Number","442293"
"Persons Usually Resident and Present in the State","1991","Both sexes","Motor car: Driver","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1991","Both sexes","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","1991","Both sexes","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","676"
"Persons Usually Resident and Present in the State","1991","Both sexes","Motor car: Driver","Students at school or college aged 19 years and over","Number","3259"
"Persons Usually Resident and Present in the State","1991","Both sexes","Motor car: Passenger","All persons","Number","292503"
"Persons Usually Resident and Present in the State","1991","Both sexes","Motor car: Passenger","Population aged 15 years and over at work","Number","90999"
"Persons Usually Resident and Present in the State","1991","Both sexes","Motor car: Passenger","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1991","Both sexes","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","147036"
"Persons Usually Resident and Present in the State","1991","Both sexes","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","49082"
"Persons Usually Resident and Present in the State","1991","Both sexes","Motor car: Passenger","Students at school or college aged 19 years and over","Number","5386"
"Persons Usually Resident and Present in the State","1991","Both sexes","Other means (incl. lorry or van)","All persons","Number","50188"
"Persons Usually Resident and Present in the State","1991","Both sexes","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","45903"
"Persons Usually Resident and Present in the State","1991","Both sexes","Other means (incl. lorry or van)","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1991","Both sexes","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","2666"
"Persons Usually Resident and Present in the State","1991","Both sexes","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","1242"
"Persons Usually Resident and Present in the State","1991","Both sexes","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","377"
"Persons Usually Resident and Present in the State","1991","Both sexes","Not stated","All persons","Number","94287"
"Persons Usually Resident and Present in the State","1991","Both sexes","Not stated","Population aged 15 years and over at work","Number","36687"
"Persons Usually Resident and Present in the State","1991","Both sexes","Not stated","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1991","Both sexes","Not stated","Children at school aged between 5 and 12 years","Number","37797"
"Persons Usually Resident and Present in the State","1991","Both sexes","Not stated","Students at school or college aged between 13 and 18 years","Number","17066"
"Persons Usually Resident and Present in the State","1991","Both sexes","Not stated","Students at school or college aged 19 years and over","Number","2737"
"Persons Usually Resident and Present in the State","1991","Both sexes","All means of travel","All persons","Number","1849284"
"Persons Usually Resident and Present in the State","1991","Both sexes","All means of travel","Population aged 15 years and over at work","Number","912221"
"Persons Usually Resident and Present in the State","1991","Both sexes","All means of travel","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1991","Both sexes","All means of travel","Children at school aged between 5 and 12 years","Number","529453"
"Persons Usually Resident and Present in the State","1991","Both sexes","All means of travel","Students at school or college aged between 13 and 18 years","Number","342763"
"Persons Usually Resident and Present in the State","1991","Both sexes","All means of travel","Students at school or college aged 19 years and over","Number","64847"
"Persons Usually Resident and Present in the State","1991","Male","On foot","All persons","Number","222003"
"Persons Usually Resident and Present in the State","1991","Male","On foot","Population aged 15 years and over at work","Number","58989"
"Persons Usually Resident and Present in the State","1991","Male","On foot","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1991","Male","On foot","Children at school aged between 5 and 12 years","Number","107125"
"Persons Usually Resident and Present in the State","1991","Male","On foot","Students at school or college aged between 13 and 18 years","Number","46865"
"Persons Usually Resident and Present in the State","1991","Male","On foot","Students at school or college aged 19 years and over","Number","9024"
"Persons Usually Resident and Present in the State","1991","Male","Bicycle","All persons","Number","87012"
"Persons Usually Resident and Present in the State","1991","Male","Bicycle","Population aged 15 years and over at work","Number","34337"
"Persons Usually Resident and Present in the State","1991","Male","Bicycle","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1991","Male","Bicycle","Children at school aged between 5 and 12 years","Number","14203"
"Persons Usually Resident and Present in the State","1991","Male","Bicycle","Students at school or college aged between 13 and 18 years","Number","30860"
"Persons Usually Resident and Present in the State","1991","Male","Bicycle","Students at school or college aged 19 years and over","Number","7612"
"Persons Usually Resident and Present in the State","1991","Male","Bus, minibus or coach","All persons","Number","156324"
"Persons Usually Resident and Present in the State","1991","Male","Bus, minibus or coach","Population aged 15 years and over at work","Number","35824"
"Persons Usually Resident and Present in the State","1991","Male","Bus, minibus or coach","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1991","Male","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","55474"
"Persons Usually Resident and Present in the State","1991","Male","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","57146"
